user_id,product_id,action,timestamp,price,category
884,119,view,2026-01-27 13:07:12,456.4,Toys
566,292,view,2026-01-27 13:07:12,158.68,Sports
60,482,purchase,2026-01-27 13:07:12,437.79,Sports
676,252,purchase,2026-01-27 13:07:12,295.96,Toys
977,267,view,2026-01-27 13:07:12,21.73,Home
641,23,view,2026-01-27 13:07:12,86.73,Books
106,39,purchase,2026-01-27 13:07:12,362.76,Home
205,353,view,2026-01-27 13:07:12,337.34,Sports
162,412,purchase,2026-01-27 13:07:12,446.13,Sports
217,461,view,2026-01-27 13:07:12,249.71,Books
