user_id,product_id,action,timestamp,price,category
95,277,purchase,2026-01-27 13:07:07,250.03,Home
97,6,view,2026-01-27 13:07:07,212.28,Sports
508,147,purchase,2026-01-27 13:07:07,376.38,Home
617,463,view,2026-01-27 13:07:07,407.97,Clothing
585,226,view,2026-01-27 13:07:07,250.01,Home
655,479,view,2026-01-27 13:07:07,179.66,Home
802,134,purchase,2026-01-27 13:07:07,97.5,Toys
637,1,purchase,2026-01-27 13:07:07,445.22,Toys
301,182,view,2026-01-27 13:07:07,304.26,Toys
238,212,view,2026-01-27 13:07:07,182.22,Toys
