user_id,product_id,action,timestamp,price,category
243,17,purchase,2026-01-27 13:08:03,208.85,Clothing
218,24,view,2026-01-27 13:08:03,349.18,Home
680,421,purchase,2026-01-27 13:08:03,21.6,Books
443,59,purchase,2026-01-27 13:08:03,360.11,Home
150,359,view,2026-01-27 13:08:03,461.93,Clothing
595,148,view,2026-01-27 13:08:03,103.57,Sports
666,409,view,2026-01-27 13:08:03,62.88,Toys
395,320,view,2026-01-27 13:08:03,42.3,Clothing
897,248,view,2026-01-27 13:08:03,135.64,Home
365,221,view,2026-01-27 13:08:03,314.08,Books
