user_id,product_id,action,timestamp,price,category
905,400,view,2026-01-28 18:14:09,377.57,Books
450,328,purchase,2026-01-28 18:14:09,366.94,Home
326,427,view,2026-01-28 18:14:09,469.35,Home
845,261,purchase,2026-01-28 18:14:09,116.38,Sports
422,483,view,2026-01-28 18:14:09,453.42,Sports
321,114,view,2026-01-28 18:14:09,316.56,Books
108,167,view,2026-01-28 18:14:09,92.51,Books
504,152,view,2026-01-28 18:14:09,356.75,Electronics
78,305,view,2026-01-28 18:14:09,364.82,Electronics
214,168,view,2026-01-28 18:14:09,63.9,Books
