user_id,product_id,action,timestamp,price,category
770,282,view,2026-01-28 18:04:42,212.39,Electronics
502,249,view,2026-01-28 18:04:42,218.19,Toys
800,466,view,2026-01-28 18:04:42,95.5,Clothing
999,168,view,2026-01-28 18:04:42,497.83,Electronics
175,311,purchase,2026-01-28 18:04:42,109.57,Clothing
109,69,view,2026-01-28 18:04:42,113.57,Home
792,359,view,2026-01-28 18:04:42,109.74,Home
427,429,view,2026-01-28 18:04:42,309.98,Clothing
375,379,purchase,2026-01-28 18:04:42,133.86,Toys
813,68,view,2026-01-28 18:04:42,366.88,Home
